Gross_income_week,Gross_income_year,Income_quintile,UC_payment,CB_payment,HB_payment,Total_benefit_support,Housing_cost,Net_income_after_housing
100,5200,Q1,290.97,43.3,142.32,476.59,167.44,409.16
150,7800,Q1,290.97,43.3,142.32,476.59,167.44,459.16
200,10400,Q1,267.85,43.3,108.83,419.99,167.44,452.55
250,13000,Q1,240.35,43.3,108.83,392.49,167.44,475.05
300,15600,Q2,212.85,43.3,66.97,323.13,167.44,455.69
350,18200,Q2,185.35,43.3,66.97,295.63,167.44,478.19
400,20800,Q3,157.85,43.3,25.12,226.27,167.44,458.83
450,23400,Q3,130.35,43.3,25.12,198.77,167.44,481.33
500,26000,Q3,102.85,43.3,0.0,146.15,167.44,478.72
550,28600,Q4,75.35,43.3,0.0,118.65,167.44,501.22
600,31200,Q4,47.85,43.3,0.0,91.15,167.44,523.72
650,33800,Q4,20.35,43.3,0.0,63.65,167.44,546.22
700,36400,Q4,0.0,43.3,0.0,43.3,167.44,575.86
750,39000,Q5,0.0,43.3,0.0,43.3,167.44,625.86
800,41600,Q5,0.0,43.3,0.0,43.3,167.44,675.86
900,46800,Q5,0.0,43.3,0.0,43.3,167.44,775.86
1000,52000,Q5,0.0,43.3,0.0,43.3,167.44,875.86
