Year,Total current healthcare expenditure (£ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"101,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"110,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"117,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"125,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"135,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"143,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"152,393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"157,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"162,881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"169,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"177,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"185,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"190,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"196,592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"202,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,"210,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,"222,935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,"254,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,"276,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,"280,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,"297,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,"317,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
