itl2_code,region_name,gdhi_total_2023_£m,population_2023,gdhi_per_head_2023_£
TLC3,Tees Valley,13615,698931.0,19480.0
TLC4,"Northumberland, Durham and Tyne & Wear",40550,2012449.0,20149.0
TLD1,Cumbria,11652,505063.0,23070.0
TLD3,Greater Manchester,61370,2948633.0,20813.0
TLD4,Lancashire,32603,1570373.0,20761.0
TLD6,Cheshire,25700,989908.0,25962.0
TLD7,Merseyside,32406,1586149.0,20431.0
TLE1,East Yorkshire and Northern Lincolnshire,19450,950483.0,20464.0
TLE2,North Yorkshire,21626,834409.0,25918.0
TLE3,South Yorkshire,27853,1407072.0,19795.0
TLE4,West Yorkshire,48697,2402161.0,20272.0
TLF1,Derbyshire and Nottinghamshire,47747,2251679.0,21205.0
TLF2,"Leicestershire, Rutland and Northamptonshire",43235,1956778.0,22095.0
TLF3,Lincolnshire,17107,782808.0,21854.0
TLG1,"Herefordshire, Worcestershire and Warwickshire",35632,1421898.0,25059.0
TLG2,Shropshire and Staffordshire,36683,1682853.0,21798.0
TLG3,West Midlands,56340,2980936.0,18900.0
TLH2,Bedfordshire and Hertfordshire,54568,1944608.0,28061.0
TLH3,Essex,49758,1896590.0,26236.0
TLH4,Cambridgeshire and Peterborough,22850,919082.0,24862.0
TLH5,Norfolk,20835,931943.0,22357.0
TLH6,Suffolk,18444,776442.0,23754.0
TLI3,Inner London - West,73277,1110965.0,65958.0
TLI4,Inner London - East,78124,2367872.0,32993.0
TLI5,Outer London - East and North East,52311,1952220.0,26796.0
TLI6,Outer London - South,41830,1325699.0,31553.0
TLI7,Outer London - West and North West,70777,2188553.0,32340.0
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",75426,2584930.0,29179.0
TLJ2,"Surrey, East and West Sussex",91390,2964654.0,30827.0
TLJ3,Hampshire and Isle of Wight,51636,2035872.0,25363.0
TLJ4,Kent,48835,1897051.0,25743.0
TLK3,Cornwall and Isles of Scilly,13478,580553.0,23216.0
TLK4,Devon,28971,1241629.0,23333.0
TLK5,West of England,24995,982255.0,25446.0
TLK6,"North Somerset, Somerset and Dorset",40570,1591150.0,25497.0
TLK7,Gloucestershire and Wiltshire,36417,1415672.0,25724.0
TLL3,North Wales,14303,691991.0,20670.0
TLL4,Mid and South West Wales,18021,912218.0,19756.0
TLL5,South East Wales,31405,1560195.0,20129.0
TLM0,Eastern Scotland,20940,936470.0,22361.0
TLM1,East Central Scotland,27981,1077680.0,25964.0
TLM2,Highlands and Islands,11509,,
TLM3,West Central Scotland,32540,1535310.0,21194.0
TLM5,North Eastern Scotland,11772,492070.0,23924.0
TLM9,Southern Scotland,21026,,
TLN0,Northern Ireland,39181,1920382.0,20403.0
