site_name,longitude,latitude,permit_regime,town,county,permit_count
1st Choice Vehicle Dismantlers,-3.137056657874654,51.47554184790776,Waste,Cardiff,Glamorgan,3
7 Steel Swansea Scrap Yard,-3.91775502382158,51.61462748711555,Waste,Swansea,Swansea,2
A & L Scrap Metal Merchants,-3.2493196146849894,51.39777810076855,Waste,Barry,Glamorgan,2
A C D Skips Ltd,-3.5804006574921448,51.54970567702705,Waste,Bridgend,Glamorgan,7
A D J Skip Hire,-3.231274806523971,51.609782879311446,Waste,Caerphilly,Gwent,1
A D Plant,-3.095869235120521,52.324455261908646,Waste,Knighton,Powys,1
A J Motors,-3.78727145355058,51.66949871075752,Waste,Neath,N P T,1
A J Recycling Ltd,-4.667262412102355,52.01019298511408,Waste,Boncath,Pembrokeshire,1
A J T Recycling Ltd,-3.989164650233709,51.64196299045041,Waste,Swansea,Swansea,5
A S H Bretton Recycling Centre,-2.961566478282026,53.176742118332015,Waste,Bretton,Flintshire,6
A Skip 2 U Ltd,-3.0841730897683046,53.15325159771727,Waste,Mold,Flintshire,7
A&C Aggregates Ltd,-4.74579376916627,51.78566795468999,Waste,Narberth,Pembrokeshire,1
A1 Skips,-2.9966738844780454,51.56763589375959,Waste,Newport,Gwent,1
A48 Auto Salvage,-3.67391886466038,51.511153352199145,Waste,Bridgend,Glamorgan,4
ALUK (GB) LTD,-2.680436042261711,51.61830625100007,Installation,Chepstow,Monmouthshire,3
ALYN WORKS,-3.1485245811509137,53.17467231304392,Installation,MOLD,Flintshire,1
ARTICO Environmental Limited,-3.816186902954556,51.61579371135962,Waste,Port Talbot,Neath Port Talbot,1
AST Plastic Containers UK LLP,-2.9237996316299144,53.0484129061776,Waste,Wrexham,Wrexham,5
Abba Scrap,-3.3361831221233227,51.77053156583148,Waste,Merthyr Tydfil,Glamorgan,7
Aberbargoed Civic Amenity Site,-3.2159283399516982,51.683962561600666,Waste,Bargoed,Caerphilly,7
Aberclwyd Farm Crick Scrap,-3.6673288848879015,51.7289291559285,Waste,Neath,N P T,4
Aberfan Household Waste And Recycling Centre,-3.342182021990442,51.69522984192055,Waste,Aberfan,Merthyr Tydfil,7
Abergele Civic Amenity Site,-3.545021191803379,53.285427667493416,Waste,Abergele,Conwy,7
Abertawe Metals Recycling Ltd,-3.917439667883006,51.66126724740708,Waste,Swansea,Swansea,1
Aberthaw Ash Disposal Site EPR/DP3432SW,-3.406738810103993,51.3874690605191,Installation,Aberthaw,Vale of Glamorgan,1
Aberthaw Cement Works,-3.387825581631936,51.39459167555472,Waste,Barry,Glamorgan,1
Afan Combined Heat And Power Facility,-3.789158770648706,51.57091458290734,Waste,Phoenix Walk,Port Talbot,1
Alan's Skip Hire Ltd,-3.02775734138588,53.23609370584646,Waste,Deeside,Flintshire,3
Alltami Depot,-3.0894977318776484,53.18753336476998,Waste,Alltami,Flintshire,2
Alltami Soil & Aggregate Recycling Facility,-3.0902317906286263,53.19051110697725,Waste,Mold,Flintshire,3
Alyn Works,-3.1495932574359924,53.17547104826736,Installation,Mold,Flintshire,4
Ammanford Metal Recycling,-3.997713118156149,51.79842030295009,Waste,Ammanford,Carmarthenshire,3
Anaerobic Digester,-3.237814974774732,52.50023054266048,Waste,Newtown,Powys,3
Anglesey C C Highways Depot,-4.283754446750981,53.2231519366526,Waste,Gaerwen,Anglesey,1
Arch Motors,-3.8248167724587088,53.31441257562543,Waste,Llandudno,Conwy,4
Arch Services Recovery Facility,-3.409821531012374,51.61921157757782,Waste,Porth,Rhondda Cynon Taff,2
Areera Limited,-3.8817518549763337,51.62280889209697,Waste,Swansea,Neath Port Talbot,1
Argoed Farm AD Facility,-3.4876852575827155,52.50901293079731,Waste,Caersws,Powys,1
Argoed Poultry Unit,-3.4882537585081312,52.51101070550771,Installation,Caersws,Powys,1
Asbestos Store,-3.780433615907514,51.58618141431058,Waste,Port Talbot,N P T,2
Asgard Renewables Ltd,-4.624285470679071,52.09352498871253,Waste,Cardigan,Ceredigion,5
Atlantic Household Waste Recycling Centre,-3.2455786139508107,51.39764708307019,Waste,Barry,South Glamorgan,7
Atlantic Recycling Limited,-3.102660356265968,51.5013353423153,Installation,Cardiff,Glamorgan,20
Atlantic Salvage Company,-3.24946636315249,51.401580190163976,Waste,Barry,Glamorgan,1
Awel Deg Poultry Farm EPR/BP3738WZ,-4.395436217907282,53.29898217846792,Installation,Llandrygan,Gwynedd,2
