site_name,town,county,permit_type,activity,status,latitude,longitude,permit_regime
Banc Gwyn Farm,St Harmon,,Bespoke,,Effective,52.33893699010702,-3.4651182083635517,Installation
Deeside Paper Mill,Deeside,Flintshire,Bespoke,,Effective,53.2204732592278,-3.0190557775513636,Installation
Deeside Paper Mill,Deeside,Flintshire,Bespoke,,Effective,53.2204732592278,-3.0190557775513636,Installation
Deeside Paper Mill,Deeside,Flintshire,Bespoke,,Effective,53.2204732592278,-3.0190557775513636,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
Ystum Colwyn AD,,Powys,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,52.73971430660074,-3.199294885423467,Installation
CWL13 Data Centre,Newport,Newport,Bespoke,Burning any fuel in an appliance with a rated thermal input of 50 or more megawatts,Effective,51.55474368198892,-3.032841327479603,Installation
Cwmafan Broiler Unit,Builth Wells,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.186722885705194,-3.518826021111126,Installation
Newport Data Centre,Newport,,Bespoke,Burning any fuel in an appliance with a rated thermal input of 50 or more megawatts,Effective,51.55540072955178,-3.0378614046045542,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Oxland Anaerobic Digester,,,Standard,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.732259472008366,-4.769377451367508,Installation
Rhosfawr Pullet Rearing Unit,Welshpool,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.64655778631661,-3.2999146680723577,Installation
Glanmeheli Poultry Unit,,,Bespoke,,Effective,52.50131543252049,-3.2355177833027446,Installation
Crugeran Poultry Unit,Pwllheli,Gwynedd,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.85740796542125,-4.6097448312623355,Installation
ALUK (GB) LTD,Chepstow,Monmouthshire,Bespoke,"Unless falling within Part A(2) of this Section, surface treating metals and plastic materials using an electrolytic or chemical process where the aggregated volume of the treatment vats is more than ",Effective,51.61830625100007,-2.680436042261711,Installation
ALUK (GB) LTD,Chepstow,Monmouthshire,Bespoke,"Unless falling within Part A(2) of this Section, surface treating metals and plastic materials using an electrolytic or chemical process where the aggregated volume of the treatment vats is more than ",Effective,51.61830625100007,-2.680436042261711,Installation
ALUK (GB) LTD,Chepstow,Monmouthshire,Bespoke,"Unless falling within Part A(2) of this Section, surface treating metals and plastic materials using an electrolytic or chemical process where the aggregated volume of the treatment vats is more than ",Effective,51.61830625100007,-2.680436042261711,Installation
Groes Y Garreg,Welshpool,Powys,Bespoke,,Effective,52.61599298823518,-3.225495507358494,Installation
Cog Moors Wastewater Treatment Works,Dinas Powys,,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.41959645307872,-3.206065067242824,Installation
Cardiff East Wastewater Treatment Works CHP Facility,Cardiff,Cardiff,Bespoke,Recovery or a mix of recovery and disposal of non-hazardous waste with a capacity exceeding 75 tonnes per day (or 100 tonnes per day if the only waste treatment activity is anaerobic digestion) involv,Effective,51.4735338710472,-3.1364163837668264,Installation
Garn,Llandrindod Wells,,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.427625314741874,-3.3214952448056443,Installation
Hirwaun OCGT Plant,Aberdare,RCT,Bespoke,Burning any fuel in an appliance with a rated thermal input of 50 or more megawatts,Effective,51.74497382061282,-3.5406522233619784,Installation
Dolobran Hall Poultry Unit,Meifod,,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.70412987164198,-3.3016992739903306,Installation
Blaenbwch Farm,Builth Well,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.09147805425776,-3.4400780146654455,Installation
Pencraig Fawr,Corwen,,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,53.03113795106539,-3.4635438250306496,Installation
Upper Bryn Free Range Poultry,Montgomery,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.54130761210929,-3.2266137198225793,Installation
Lower Trederwen Farm Broiler Unit,Llanymynech,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.73518464424332,-3.0862980590588664,Installation
Sandycroft Waste Management Centre,Deeside,Flintshire,Bespoke,,Effective,53.19838093849668,-2.993127923567883,Installation
Sandycroft Waste Management Centre,Deeside,Flintshire,Bespoke,,Effective,53.19838093849668,-2.993127923567883,Installation
Sandycroft Waste Management Centre,Deeside,Flintshire,Bespoke,,Effective,53.19838093849668,-2.993127923567883,Installation
Drefor Broiler Unit,Newtown,Powys,Bespoke,"Rearing poultry or pigs intensively in an installation with more than 40,000 places for poultry",Effective,52.49360351291019,-3.224961437729816,Installation
Nantgarw  Enzyme Production Facility,Cardiff,Cardiff,Bespoke,"Producing organic chemicals such as:
(iv) Organic compounds containing nitrogen (for example amines, amides, nitrous-, nitro- or azo-compounds, nitrates, nitriles, nitrogen heterocyclics, cyanates, is",Effective,51.56355782750771,-3.2707385333515493,Installation
Forward Waste Management East Moors Road Hazardous Waste Transfer Station,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.475227444804524,-3.160879177391364,Installation
Forward Waste Management East Moors Road Hazardous Waste Transfer Station,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.475227444804524,-3.160879177391364,Installation
Forward Waste Management East Moors Road Hazardous Waste Transfer Station,Cardiff,,Bespoke,Disposal or recovery of hazardous waste with a capacity exceeding 10 tonnes per day involving one or more of the following activities - blending or mixing prior to submission to any of the other activ,Effective,51.475227444804524,-3.160879177391364,Installation
