name,ownership,owner,latitude,longitude
Barry,Private,Associated British Ports,51.39240683249814,-3.259346467836958
Cardiff,Private,Associated British Ports,51.45281606314415,-3.1599661623866435
Newport,Private,Associated British Ports,51.556987143016336,-2.9839817992515267
Port Talbot,Private,Associated British Ports,51.582439855158064,-3.8018853066218683
Swansea,Private,Associated British Ports,51.60973295983738,-3.9267180403584896
Caernarfon,Trust,Caernarfon Harbour Trust,53.13635410640222,-4.270927315636743
Conwy Harbour,Municipal,Conwy County Borough Council,53.28166600298058,-3.8261885093465393
Fishguard,Private,Stena Line Ports Ltd,52.01043316493271,-4.984918942997021
Holyhead,Private,Stena Line Ports Ltd,53.31106355830956,-4.629274472399475
Amlwch Port,Municipal,Isle of Anglesey County Council,53.41576739883724,-4.332626451808364
Beaumaris,Municipal,Isle of Anglesey County Council,53.261252889212194,-4.09012240271465
Menai Bridge,Municipal,Isle of Anglesey County Council,53.225366545237065,-4.159144572171987
Port of Neath,Trust,Neath Port Authority,51.625540437081916,-3.8325350753980474
Newport Harbour,Trust,Newport Harbour Commissioners,51.54625918958441,-2.9866447176615587
Pembroke Port,Trust,Port of Milford Haven,51.69761736415542,-4.9547934447848165
Milford Haven,Trust,Port of Milford Haven,51.702109838283704,-5.046026247343029
Port of Mostyn,Private,Mostyn Docks Ltd,53.32280198647061,-3.2618348832269177
Saundersfoot Harbour,Trust,Saundersfoot Harbour Commissioners,51.709676745962526,-4.697246238143779
Cardiff Harbour,Municipal,Cardiff Harbour Authority,51.447558101559856,-3.166347554885014
Porthcawl Marina,Municipal,Bridgend County Borough Council,51.4750898536046,-3.701277140636589
Burry Port Harbour,Municipal,Carmarthenshire County Council,51.679340061641234,-4.2503332585993565
Tenby Harbour,Municipal,Pembrokeshire County Council,51.672838192008285,-4.697731867297547
Lower Town Fishguard Harbour,Municipal,Pembrokeshire County Council,51.99723105754474,-4.971890540645876
Aberystwyth,Municipal,Ceridigion County Council,52.40673955093544,-4.089759799741253
Aberaeron,Municipal,Ceridigion County Council,52.2434209381254,-4.264347278663482
New Quay,Municipal,Ceridigion County Council,52.21477482313618,-4.356526138757013
Pwllheli,Municipal,Gwynedd Council,52.88363520480557,-4.403907690649043
Porthmadog,Municipal,Gwynedd Council,52.923689606811145,-4.128509776923889
Barmouth,Municipal,Gwynedd Council,52.718539351559585,-4.051795993657189
Aberdyfi,Municipal,Gwynedd Council,52.543282574432446,-4.044283364709709
Rhyl Harbour,Municipal,Denbighshire County Council,53.31534003463208,-3.5070797360854487
Llanddulas,Private,Cemex,53.29353695557685,-3.671648568985833
Port Penrhyn,Private,Dickies Marine Services Ltd,53.235663942636506,-4.11191696457623
