Year,Year_numeric,Quintile,Actual_income,Fitted_income,Residual,Slope,Intercept,R_squared
2006/07,2006.5,Q1 Bottom,13100,12938.916666666686,161.08333333331393,106.23809523809524,-200227.82142857145,0.4201026526604625
2007/08,2007.5,Q1 Bottom,12843,13045.154761904763,-202.1547619047633,106.23809523809524,-200227.82142857145,0.4201026526604625
2008/09,2008.5,Q1 Bottom,12966,13151.39285714287,-185.3928571428696,106.23809523809524,-200227.82142857145,0.4201026526604625
2009/10,2009.5,Q1 Bottom,13664,13257.630952380976,406.36904761902406,106.23809523809524,-200227.82142857145,0.4201026526604625
2010/11,2010.5,Q1 Bottom,13409,13363.869047619051,45.13095238094684,106.23809523809524,-200227.82142857145,0.4201026526604625
2011/12,2011.5,Q1 Bottom,13330,13470.10714285716,-140.1071428571595,106.23809523809524,-200227.82142857145,0.4201026526604625
2012/13,2012.5,Q1 Bottom,13108,13576.345238095266,-468.3452380952658,106.23809523809524,-200227.82142857145,0.4201026526604625
2013/14,2013.5,Q1 Bottom,14066,13682.583333333345,383.41666666665697,106.23809523809524,-200227.82142857145,0.4201026526604625
2006/07,2006.5,Q2 2nd,20907,21129.75,-222.75,-177.89285714285714,378071.7678571429,0.6999576956351178
2007/08,2007.5,Q2 2nd,20949,20951.85714285716,-2.857142857159488,-177.89285714285714,378071.7678571429,0.6999576956351178
2008/09,2008.5,Q2 2nd,20557,20773.96428571426,-216.9642857142608,-177.89285714285714,378071.7678571429,0.6999576956351178
2009/10,2009.5,Q2 2nd,20976,20596.07142857142,379.9285714285797,-177.89285714285714,378071.7678571429,0.6999576956351178
2010/11,2010.5,Q2 2nd,20576,20418.17857142858,157.82142857142026,-177.89285714285714,378071.7678571429,0.6999576956351178
2011/12,2011.5,Q2 2nd,20630,20240.28571428568,389.714285714319,-177.89285714285714,378071.7678571429,0.6999576956351178
2012/13,2012.5,Q2 2nd,19951,20062.39285714284,-111.39285714284053,-177.89285714285714,378071.7678571429,0.6999576956351178
2013/14,2013.5,Q2 2nd,19511,19884.5,-373.5,-177.89285714285714,378071.7678571429,0.6999576956351178
2006/07,2006.5,Q3 Middle,28163,28486.333333333318,-323.333333333314,-205.48809523809524,440798.1964285714,0.3799796697657362
2007/08,2007.5,Q3 Middle,27691,28280.845238095208,-589.8452380952076,-205.48809523809524,440798.1964285714,0.3799796697657362
2008/09,2008.5,Q3 Middle,28147,28075.3571428571,71.64285714289872,-205.48809523809524,440798.1964285714,0.3799796697657362
2009/10,2009.5,Q3 Middle,28654,27869.869047619053,784.1309523809468,-205.48809523809524,440798.1964285714,0.3799796697657362
2010/11,2010.5,Q3 Middle,27870,27664.380952380947,205.6190476190532,-205.48809523809524,440798.1964285714,0.3799796697657362
2011/12,2011.5,Q3 Middle,28213,27458.89285714284,754.1071428571595,-205.48809523809524,440798.1964285714,0.3799796697657362
2012/13,2012.5,Q3 Middle,27436,27253.40476190473,182.5952380952658,-205.48809523809524,440798.1964285714,0.3799796697657362
2013/14,2013.5,Q3 Middle,25963,27047.916666666628,-1084.916666666628,-205.48809523809524,440798.1964285714,0.3799796697657362
2006/07,2006.5,Q4 4th,36991,37517.583333333314,-526.5833333333139,-162.38095238095238,363334.9642857143,0.25641661316844
2007/08,2007.5,Q4 4th,36740,37355.20238095237,-615.2023809523671,-162.38095238095238,363334.9642857143,0.25641661316844
2008/09,2008.5,Q4 4th,37687,37192.82142857142,494.1785714285797,-162.38095238095238,363334.9642857143,0.25641661316844
2009/10,2009.5,Q4 4th,37961,37030.44047619047,930.5595238095266,-162.38095238095238,363334.9642857143,0.25641661316844
2010/11,2010.5,Q4 4th,36773,36868.05952380953,-95.05952380952658,-162.38095238095238,363334.9642857143,0.25641661316844
2011/12,2011.5,Q4 4th,37379,36705.67857142852,673.3214285714785,-162.38095238095238,363334.9642857143,0.25641661316844
2012/13,2012.5,Q4 4th,36666,36543.297619047575,122.7023809524253,-162.38095238095238,363334.9642857143,0.25641661316844
2013/14,2013.5,Q4 4th,35397,36380.91666666663,-983.916666666628,-162.38095238095238,363334.9642857143,0.25641661316844
2006/07,2006.5,Q5 Top,59090,59134.0,-44.0,-621.5714285714286,1306317.0714285714,0.8770179359559637
2007/08,2007.5,Q5 Top,58064,58512.42857142864,-448.428571428638,-621.5714285714286,1306317.0714285714,0.8770179359559637
2008/09,2008.5,Q5 Top,58024,57890.85714285704,133.14285714295693,-621.5714285714286,1306317.0714285714,0.8770179359559637
2009/10,2009.5,Q5 Top,57841,57269.28571428568,571.714285714319,-621.5714285714286,1306317.0714285714,0.8770179359559637
2010/11,2010.5,Q5 Top,55992,56647.71428571432,-655.714285714319,-621.5714285714286,1306317.0714285714,0.8770179359559637
2011/12,2011.5,Q5 Top,56954,56026.14285714272,927.857142857276,-621.5714285714286,1306317.0714285714,0.8770179359559637
2012/13,2012.5,Q5 Top,55562,55404.57142857136,157.42857142863795,-621.5714285714286,1306317.0714285714,0.8770179359559637
2013/14,2013.5,Q5 Top,54141,54783.0,-642.0,-621.5714285714286,1306317.0714285714,0.8770179359559637
