Region,LAD code,Region name,2020,2021,2022,
Scotland,S12000033,Aberdeen City,4620,4618,4709,
Scotland,S12000034,Aberdeenshire,5727,5855,6112,
Scotland,S12000017,Highland,4598,4763,5021,
Scotland,S12000020,Moray,1742,1777,1871,
Scotland,S12000021,North Ayrshire,2290,2328,2450,
Scotland,S12000035,Argyll and Bute,1681,1719,1820,
Scotland,S12000013,Na h-Eileanan Siar,488,497,528,
Scotland,S12000023,Orkney Islands,421,438,465,
Scotland,S12000027,Shetland Islands,473,480,507,
Scotland,S12000041,Angus,2209,2224,2334,
Scotland,S12000042,Dundee City,2452,2508,2619,
Scotland,S12000005,Clackmannanshire,994,990,1027,
Scotland,S12000047,Fife,6661,6803,7172,
Scotland,S12000010,East Lothian,2442,2543,2697,
Scotland,S12000019,Midlothian,1813,1920,2037,
Scotland,S12000036,City of Edinburgh,12267,12825,13681,
Scotland,S12000014,Falkirk,2908,2957,3099,
Scotland,S12000048,Perth and Kinross,3157,3263,3451,
Scotland,S12000030,Stirling,1882,1964,2106,
Scotland,S12000040,West Lothian,3350,3438,3699,
Scotland,S12000039,West Dunbartonshire,1465,1499,1554,
Scotland,S12000045,East Dunbartonshire,2458,2586,2754,
Scotland,S12000049,Glasgow City,10618,10949,11566,
Scotland,S12000011,East Renfrewshire,2148,2244,2412,
Scotland,S12000038,Renfrewshire,3286,3297,3485,
Scotland,S12000018,Inverclyde,1364,1437,1487,
Scotland,S12000050,North Lanarkshire,5828,5893,6185,
Scotland,S12000026,Scottish Borders,2306,2362,2475,
Scotland,S12000006,Dumfries and Galloway,2750,2841,2963,
Scotland,S12000008,East Ayrshire,2073,2135,2283,
Scotland,S12000028,South Ayrshire,2091,2205,2341,
Scotland,S12000029,South Lanarkshire,6125,6316,6694,
