Month,Snow amount (week),Snow days (week),Resort
December,23 cm,3.1 days,See
January,28 cm,3.3 days,See
February,22 cm,3.3 days,See
March,18 cm,2.9 days,See
April,13 cm,2.3 days,See
December,44 cm,3.5 days,Zermatt
January,50 cm,3.4 days,Zermatt
February,50 cm,3.8 days,Zermatt
March,63 cm,4.4 days,Zermatt
April,59 cm,4.7 days,Zermatt
December,39 cm,3.4 days,Verbier
January,40 cm,3.3 days,Verbier
February,32 cm,3.6 days,Verbier
March,33 cm,3.8 days,Verbier
April,26 cm,3.9 days,Verbier
December,44 cm,3.2 days,Chamonix
January,46 cm,3.2 days,Chamonix
February,36 cm,3.3 days,Chamonix
March,39 cm,3.7 days,Chamonix
April,28 cm,3.8 days,Chamonix
December,37 cm,3.2 days,Tignes
January,38 cm,3.2 days,Tignes
February,33 cm,3.6 days,Tignes
March,37 cm,3.9 days,Tignes
April,28 cm,4.0 days,Tignes
