Month,Snow amount (week),Snow days (week),Resort
December,22 cm,2.6 days,Risoul
January,18 cm,2.4 days,Risoul
February,19 cm,2.9 days,Risoul
March,21 cm,3.1 days,Risoul
April,17 cm,3.1 days,Risoul
December,44 cm,3.5 days,Zermatt
January,50 cm,3.4 days,Zermatt
February,50 cm,3.8 days,Zermatt
March,63 cm,4.4 days,Zermatt
April,59 cm,4.7 days,Zermatt
December,39 cm,3.4 days,Verbier
January,40 cm,3.3 days,Verbier
February,32 cm,3.6 days,Verbier
March,33 cm,3.8 days,Verbier
April,26 cm,3.9 days,Verbier
December,44 cm,3.2 days,Chamonix
January,46 cm,3.2 days,Chamonix
February,36 cm,3.3 days,Chamonix
March,39 cm,3.7 days,Chamonix
April,28 cm,3.8 days,Chamonix
December,37 cm,3.2 days,Tignes
January,38 cm,3.2 days,Tignes
February,33 cm,3.6 days,Tignes
March,37 cm,3.9 days,Tignes
April,28 cm,4.0 days,Tignes
December,30 cm,2.9 days,Chatel
January,30 cm,3.1 days,Chatel
February,25 cm,3.1 days,Chatel
March,25 cm,3.0 days,Chatel
April,15 cm,2.0 days,Chatel
December,18 cm,2.0 days,Auron
January,15 cm,2.0 days,Auron
February,20 cm,2.6 days,Auron
March,20 cm,2.7 days,Auron
April,14 cm,2.3 days,Auron
December,40 cm,3.0 days,Flaine
January,40 cm,3.0 days,Flaine
February,32 cm,3.1 days,Flaine
March,34 cm,3.3 days,Flaine
April,21 cm,2.6 days,Flaine
December,25 cm,2.4 days,Cordon
January,21 cm,2.3 days,Cordon
February,16 cm,1.5 days,Cordon
March,15 cm,1.9 days,Cordon
April,10 cm,1.4 days,Cordon
December,13 cm,1.6 days,Guzet
January,18 cm,2.2 days,Guzet
February,16 cm,2.2 days,Guzet
March,15 cm,2.2 days,Guzet
April,8 cm,1.3 days,Guzet
December,23 cm,2.4 days,Lamoura
January,21 cm,2.5 days,Lamoura
February,20 cm,2.6 days,Lamoura
March,17 cm,2.2 days,Lamoura
April,9 cm,1.3 days,Lamoura
December,33 cm,2.9 days,Megeve
January,35 cm,3.0 days,Megeve
February,26 cm,3.0 days,Megeve
March,28 cm,3.0 days,Megeve
April,14 cm,2.0 days,Megeve
