region,year,families,children,avg_family_size
North East (England),2003,318470,552970,1.7363330925989888
North West (England),2003,861775,1549900,1.798497287575063
Yorkshire and The Humber (England),2003,619630,1116630,1.8020915707761085
East Midlands (England),2003,517590,934450,1.8053865028304257
West Midlands (England),2003,663400,1219985,1.8389885438649385
East of England (England),2003,653695,1200175,1.8359862015159976
London (England),2003,876120,1613235,1.841340227366114
South East (England),2003,956080,1754585,1.835186386076479
South West (England),2003,570735,1041360,1.8245946016978107
Wales,2003,357370,641755,1.795771889078546
Scotland,2003,605900,1045925,1.7262337019310117
Northern Ireland,2003,225885,439870,1.947318325696704
North East (England),2004,317515,544840,1.7159504275388564
North West (England),2004,863070,1534595,1.7780655103294054
Yorkshire and The Humber (England),2004,622065,1109155,1.7830210669303048
East Midlands (England),2004,520870,930920,1.7872405782632903
West Midlands (England),2004,667175,1214695,1.8206542511335104
East of England (England),2004,660390,1200175,1.817373067429852
London (England),2004,894090,1632425,1.825794942343612
South East (England),2004,965480,1752995,1.8156719973484687
South West (England),2004,576845,1040475,1.803734105348924
Wales,2004,360855,640100,1.7738426791924735
Scotland,2004,606805,1035125,1.7058610261945766
Northern Ireland,2004,226850,435690,1.920608331496584
North East (England),2005,315855,540940,1.712621297747384
North West (England),2005,860660,1528255,1.7756779680710153
Yorkshire and The Humber (England),2005,622475,1109150,1.7818386280573515
East Midlands (England),2005,522195,932310,1.7853675351161922
West Midlands (England),2005,667565,1215315,1.8205193501756385
East of England (England),2005,664155,1204750,1.813959090874871
London (England),2005,909045,1658755,1.8247226484937489
South East (England),2005,970225,1758520,1.8124867943002911
South West (England),2005,578015,1040780,1.8006107107947025
Wales,2005,360385,637725,1.7695658809328911
Scotland,2005,604085,1027640,1.7011513280415835
Northern Ireland,2005,226800,431995,1.9047398589065256
North East (England),2006,316665,540980,1.708366886141506
North West (England),2006,864650,1529585,1.7690221476898167
Yorkshire and The Humber (England),2006,626740,1113190,1.7761591728627502
East Midlands (England),2006,527105,936980,1.7775964940571614
West Midlands (England),2006,672220,1219915,1.8147555859688795
East of England (England),2006,671850,1212530,1.804762967924388
London (England),2006,926055,1686375,1.8210311482579329
South East (England),2006,981015,1768965,1.803198727848198
South West (England),2006,581705,1042445,1.7920509536620797
Wales,2006,360195,635020,1.762989491803051
Scotland,2006,601515,1020370,1.6963334247691246
