MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Total annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£)
W02000001,Isle of Anglesey 001,W06000001,Isle of Anglesey,W92000004,Wales,43135,50982,36495,14487
W02000002,Isle of Anglesey 002,W06000001,Isle of Anglesey,W92000004,Wales,47425,55528,40504,15024
W02000003,Isle of Anglesey 003,W06000001,Isle of Anglesey,W92000004,Wales,39366,45997,33691,12306
W02000004,Isle of Anglesey 004,W06000001,Isle of Anglesey,W92000004,Wales,46011,53739,39395,14344
W02000005,Isle of Anglesey 005,W06000001,Isle of Anglesey,W92000004,Wales,45901,53627,39288,14339
W02000006,Isle of Anglesey 006,W06000001,Isle of Anglesey,W92000004,Wales,47076,55812,39708,16104
W02000007,Isle of Anglesey 007,W06000001,Isle of Anglesey,W92000004,Wales,45483,53166,38911,14255
W02000008,Isle of Anglesey 008,W06000001,Isle of Anglesey,W92000004,Wales,49808,58997,42050,16947
W02000009,Isle of Anglesey 009,W06000001,Isle of Anglesey,W92000004,Wales,45191,52787,38689,14098
W02000010,Gwynedd 001,W06000002,Gwynedd,W92000004,Wales,46601,56737,38275,18462
W02000011,Gwynedd 002,W06000002,Gwynedd,W92000004,Wales,48246,57042,40807,16235
W02000012,Gwynedd 003,W06000002,Gwynedd,W92000004,Wales,45959,53963,39143,14820
W02000013,Gwynedd 004,W06000002,Gwynedd,W92000004,Wales,50700,59588,43138,16450
W02000014,Gwynedd 005,W06000002,Gwynedd,W92000004,Wales,49454,58323,41934,16389
W02000015,Gwynedd 006,W06000002,Gwynedd,W92000004,Wales,43676,51767,36850,14917
W02000016,Gwynedd 007,W06000002,Gwynedd,W92000004,Wales,45469,53105,38931,14174
W02000017,Gwynedd 008,W06000002,Gwynedd,W92000004,Wales,43746,51153,37412,13741
W02000018,Gwynedd 009,W06000002,Gwynedd,W92000004,Wales,43737,51178,37377,13801
W02000019,Gwynedd 010,W06000002,Gwynedd,W92000004,Wales,42768,50140,36480,13660
W02000020,Gwynedd 011,W06000002,Gwynedd,W92000004,Wales,45127,53045,38391,14654
W02000021,Gwynedd 012,W06000002,Gwynedd,W92000004,Wales,42977,50596,36505,14091
W02000022,Gwynedd 013,W06000002,Gwynedd,W92000004,Wales,41840,49706,35219,14487
W02000023,Gwynedd 014,W06000002,Gwynedd,W92000004,Wales,42657,50432,36081,14351
W02000024,Gwynedd 015,W06000002,Gwynedd,W92000004,Wales,46083,55741,38098,17643
W02000025,Gwynedd 016,W06000002,Gwynedd,W92000004,Wales,40952,47906,35007,12899
W02000026,Gwynedd 017,W06000002,Gwynedd,W92000004,Wales,39968,47629,33538,14091
W02000027,Conwy 001,W06000003,Conwy,W92000004,Wales,36775,43417,31149,12268
W02000028,Conwy 002,W06000003,Conwy,W92000004,Wales,43393,50697,37142,13555
W02000029,Conwy 003,W06000003,Conwy,W92000004,Wales,46573,54311,39937,14374
W02000030,Conwy 004,W06000003,Conwy,W92000004,Wales,42377,49519,36266,13253
W02000031,Conwy 005,W06000003,Conwy,W92000004,Wales,36646,43525,30855,12670
W02000032,Conwy 006,W06000003,Conwy,W92000004,Wales,48606,57198,41304,15894
W02000033,Conwy 007,W06000003,Conwy,W92000004,Wales,38770,45536,33010,12526
W02000034,Conwy 008,W06000003,Conwy,W92000004,Wales,52562,61448,44961,16487
W02000035,Conwy 009,W06000003,Conwy,W92000004,Wales,47025,55156,40092,15064
W02000036,Conwy 010,W06000003,Conwy,W92000004,Wales,39092,45719,33426,12293
W02000037,Conwy 011,W06000003,Conwy,W92000004,Wales,44738,52241,38313,13928
W02000038,Conwy 012,W06000003,Conwy,W92000004,Wales,48738,57466,41335,16131
W02000039,Conwy 013,W06000003,Conwy,W92000004,Wales,44712,52422,38137,14285
W02000040,Conwy 014,W06000003,Conwy,W92000004,Wales,48071,56436,40945,15491
W02000041,Conwy 015,W06000003,Conwy,W92000004,Wales,44943,52637,38373,14264
W02000042,Denbighshire 001,W06000004,Denbighshire,W92000004,Wales,39111,46230,33089,13141
W02000043,Denbighshire 002,W06000004,Denbighshire,W92000004,Wales,41705,49066,35448,13618
W02000044,Denbighshire 003,W06000004,Denbighshire,W92000004,Wales,42585,49813,36406,13407
W02000045,Denbighshire 004,W06000004,Denbighshire,W92000004,Wales,35736,43558,29318,14240
W02000047,Denbighshire 006,W06000004,Denbighshire,W92000004,Wales,39642,46493,33801,12692
W02000049,Denbighshire 008,W06000004,Denbighshire,W92000004,Wales,49816,58195,42643,15552
W02000050,Denbighshire 009,W06000004,Denbighshire,W92000004,Wales,47392,55529,40447,15082
W02000051,Denbighshire 010,W06000004,Denbighshire,W92000004,Wales,46538,54586,39676,14910
W02000052,Denbighshire 011,W06000004,Denbighshire,W92000004,Wales,39951,46678,34192,12486
W02000053,Denbighshire 012,W06000004,Denbighshire,W92000004,Wales,52196,61310,44437,16873
W02000054,Denbighshire 013,W06000004,Denbighshire,W92000004,Wales,52043,60891,44481,16410
W02000055,Denbighshire 014,W06000004,Denbighshire,W92000004,Wales,45620,53297,39049,14248
W02000056,Denbighshire 015,W06000004,Denbighshire,W92000004,Wales,46162,54486,39110,15376
W02000057,Denbighshire 016,W06000004,Denbighshire,W92000004,Wales,48312,57486,40602,16884
W02000419,Denbighshire 017,W06000004,Denbighshire,W92000004,Wales,41104,48006,35195,12811
W02000058,Flintshire 001,W06000005,Flintshire,W92000004,Wales,41414,48330,35488,12842
W02000059,Flintshire 002,W06000005,Flintshire,W92000004,Wales,48989,57246,41923,15323
W02000060,Flintshire 003,W06000005,Flintshire,W92000004,Wales,38676,45232,33071,12161
W02000061,Flintshire 004,W06000005,Flintshire,W92000004,Wales,38944,45511,33324,12187
W02000062,Flintshire 005,W06000005,Flintshire,W92000004,Wales,47854,56257,40707,15550
W02000063,Flintshire 006,W06000005,Flintshire,W92000004,Wales,48061,56198,41102,15096
W02000064,Flintshire 007,W06000005,Flintshire,W92000004,Wales,37625,44261,31983,12278
W02000065,Flintshire 008,W06000005,Flintshire,W92000004,Wales,46977,54939,40168,14771
W02000066,Flintshire 009,W06000005,Flintshire,W92000004,Wales,38233,44749,32666,12083
W02000067,Flintshire 010,W06000005,Flintshire,W92000004,Wales,54733,63936,46855,17081
W02000068,Flintshire 011,W06000005,Flintshire,W92000004,Wales,39007,45555,33400,12155
W02000069,Flintshire 012,W06000005,Flintshire,W92000004,Wales,54637,63771,46812,16959
W02000070,Flintshire 013,W06000005,Flintshire,W92000004,Wales,56808,67561,47766,19795
W02000071,Flintshire 014,W06000005,Flintshire,W92000004,Wales,48124,56272,41156,15116
W02000072,Flintshire 015,W06000005,Flintshire,W92000004,Wales,47743,55812,40841,14971
W02000073,Flintshire 016,W06000005,Flintshire,W92000004,Wales,45273,53218,38515,14703
W02000074,Flintshire 017,W06000005,Flintshire,W92000004,Wales,46072,53790,39462,14328
W02000075,Flintshire 018,W06000005,Flintshire,W92000004,Wales,55983,66380,47215,19165
W02000076,Flintshire 019,W06000005,Flintshire,W92000004,Wales,49614,58023,42425,15598
W02000077,Flintshire 020,W06000005,Flintshire,W92000004,Wales,44453,53313,37066,16247
W02000080,Wrexham 003,W06000006,Wrexham,W92000004,Wales,44016,52059,37215,14844
W02000081,Wrexham 004,W06000006,Wrexham,W92000004,Wales,44713,52201,38300,13901
W02000082,Wrexham 005,W06000006,Wrexham,W92000004,Wales,44321,51805,37919,13886
W02000083,Wrexham 006,W06000006,Wrexham,W92000004,Wales,43423,51023,36955,14068
W02000085,Wrexham 008,W06000006,Wrexham,W92000004,Wales,42909,50178,36693,13485
W02000087,Wrexham 010,W06000006,Wrexham,W92000004,Wales,35481,41852,30079,11773
W02000088,Wrexham 011,W06000006,Wrexham,W92000004,Wales,44011,51587,37547,14040
W02000089,Wrexham 012,W06000006,Wrexham,W92000004,Wales,36626,43348,30947,12401
W02000090,Wrexham 013,W06000006,Wrexham,W92000004,Wales,45932,53622,39346,14276
W02000091,Wrexham 014,W06000006,Wrexham,W92000004,Wales,44038,51495,37660,13835
W02000092,Wrexham 015,W06000006,Wrexham,W92000004,Wales,40673,47456,34859,12597
W02000093,Wrexham 016,W06000006,Wrexham,W92000004,Wales,47048,55136,40147,14989
W02000094,Wrexham 017,W06000006,Wrexham,W92000004,Wales,39244,45787,33637,12150
W02000095,Wrexham 018,W06000006,Wrexham,W92000004,Wales,49669,57980,42549,15431
W02000096,Wrexham 019,W06000006,Wrexham,W92000004,Wales,43130,51426,36171,15255
W02000424,Wrexham 021,W06000006,Wrexham,W92000004,Wales,52336,61339,44654,16685
W02000425,Wrexham 022,W06000006,Wrexham,W92000004,Wales,49662,59482,41464,18018
W02000426,Wrexham 023,W06000006,Wrexham,W92000004,Wales,46887,54714,40180,14534
W02000116,Ceredigion 001,W06000008,Ceredigion,W92000004,Wales,51334,59976,43938,16038
W02000117,Ceredigion 002,W06000008,Ceredigion,W92000004,Wales,48315,57640,40498,17142
W02000118,Ceredigion 003,W06000008,Ceredigion,W92000004,Wales,43948,51295,37654,13641
W02000120,Ceredigion 005,W06000008,Ceredigion,W92000004,Wales,41850,49088,35679,13409
W02000122,Ceredigion 007,W06000008,Ceredigion,W92000004,Wales,42441,49698,36244,13454
W02000123,Ceredigion 008,W06000008,Ceredigion,W92000004,Wales,41022,48530,34676,13854
W02000124,Ceredigion 009,W06000008,Ceredigion,W92000004,Wales,37886,44394,32333,12061
W02000125,Ceredigion 010,W06000008,Ceredigion,W92000004,Wales,40544,47470,34628,12842
W02000421,Ceredigion 011,W06000008,Ceredigion,W92000004,Wales,45193,52723,38739,13984
W02000126,Pembrokeshire 001,W06000009,Pembrokeshire,W92000004,Wales,43163,50573,36840,13733
W02000127,Pembrokeshire 002,W06000009,Pembrokeshire,W92000004,Wales,41584,49044,35259,13785
W02000128,Pembrokeshire 003,W06000009,Pembrokeshire,W92000004,Wales,46179,54213,39335,14878
W02000129,Pembrokeshire 004,W06000009,Pembrokeshire,W92000004,Wales,45125,52865,38518,14347
W02000130,Pembrokeshire 005,W06000009,Pembrokeshire,W92000004,Wales,39856,46651,34050,12601
W02000131,Pembrokeshire 006,W06000009,Pembrokeshire,W92000004,Wales,42590,49751,36459,13292
W02000132,Pembrokeshire 007,W06000009,Pembrokeshire,W92000004,Wales,42942,50236,36706,13530
W02000133,Pembrokeshire 008,W06000009,Pembrokeshire,W92000004,Wales,44700,52219,38264,13955
W02000134,Pembrokeshire 009,W06000009,Pembrokeshire,W92000004,Wales,43481,51236,36899,14337
W02000135,Pembrokeshire 010,W06000009,Pembrokeshire,W92000004,Wales,40217,47097,34342,12755
W02000136,Pembrokeshire 011,W06000009,Pembrokeshire,W92000004,Wales,42422,49541,36327,13214
W02000137,Pembrokeshire 012,W06000009,Pembrokeshire,W92000004,Wales,38291,45113,32500,12613
W02000138,Pembrokeshire 013,W06000009,Pembrokeshire,W92000004,Wales,36455,42609,31190,11419
W02000139,Pembrokeshire 014,W06000009,Pembrokeshire,W92000004,Wales,46488,54468,39677,14791
W02000140,Pembrokeshire 015,W06000009,Pembrokeshire,W92000004,Wales,38969,45523,33359,12164
W02000141,Pembrokeshire 016,W06000009,Pembrokeshire,W92000004,Wales,39824,46669,33983,12686
W02000142,Carmarthenshire 001,W06000010,Carmarthenshire,W92000004,Wales,38368,44990,32720,12270
W02000143,Carmarthenshire 002,W06000010,Carmarthenshire,W92000004,Wales,40930,49222,34035,15187
W02000144,Carmarthenshire 003,W06000010,Carmarthenshire,W92000004,Wales,41182,49206,34467,14739
W02000145,Carmarthenshire 004,W06000010,Carmarthenshire,W92000004,Wales,46126,54351,39147,15204
W02000146,Carmarthenshire 005,W06000010,Carmarthenshire,W92000004,Wales,53036,62119,45281,16838
W02000147,Carmarthenshire 006,W06000010,Carmarthenshire,W92000004,Wales,45944,53648,39347,14301
W02000148,Carmarthenshire 007,W06000010,Carmarthenshire,W92000004,Wales,45751,53497,39127,14370
W02000149,Carmarthenshire 008,W06000010,Carmarthenshire,W92000004,Wales,41860,49113,35679,13434
W02000151,Carmarthenshire 010,W06000010,Carmarthenshire,W92000004,Wales,40022,46731,34277,12454
